,q,s
2018-09-01 00:00:00+01:00,9.7116679091397,0.0
2018-09-02 00:00:00+01:00,8.88695506844432,0.0
2018-09-03 00:00:00+01:00,9.08605777215323,0.0
2018-09-04 00:00:00+01:00,10.9707558685426,0.0
2018-09-05 00:00:00+01:00,11.9772204098421,0.0
2018-09-06 00:00:00+01:00,11.1759913296421,0.0
2018-09-07 00:00:00+01:00,9.93948836693547,0.0
2018-09-08 00:00:00+01:00,8.82629808526454,0.0
2018-09-09 00:00:00+01:00,9.27948765185105,0.0
2018-09-10 00:00:00+01:00,10.0491307846889,0.0
2018-09-11 00:00:00+01:00,10.1653733409216,0.0
2018-09-12 00:00:00+01:00,16.2034967968537,0.0
2018-09-13 00:00:00+01:00,21.2124593804545,0.167649895180081
2018-09-14 00:00:00+01:00,20.3245788555182,0.0476173638787178
2018-09-15 00:00:00+01:00,19.1487029486525,0.122461976112361
2018-09-16 00:00:00+01:00,17.5884135431144,0.239082660498924
2018-09-17 00:00:00+01:00,16.2036391925774,0.0
2018-09-18 00:00:00+01:00,14.8576995597339,0.0
2018-09-19 00:00:00+01:00,14.8741983824189,0.0
2018-09-20 00:00:00+01:00,14.8581936393758,0.0
2018-09-21 00:00:00+01:00,18.0745453744749,0.0
2018-09-22 00:00:00+01:00,30.258078285596,8.6549753116638
2018-09-23 00:00:00+01:00,39.183364934767,41.0575860749512
2018-09-24 00:00:00+01:00,38.2112403308054,51.5373769833198
2018-09-25 00:00:00+01:00,37.3315689055835,57.8325571993339
2018-09-26 00:00:00+01:00,47.3921391903467,63.6650632491718
2018-09-27 00:00:00+01:00,58.0175221472307,63.1636947239961
2018-09-28 00:00:00+01:00,51.5518445867075,32.5436084001113
2018-09-29 00:00:00+01:00,47.083321799056,32.7372107078913
2018-09-30 00:00:00+01:00,44.5257657307623,33.8617328662219
2018-10-01 00:00:00+01:00,40.8461940878704,34.6346278668904
2018-10-02 00:00:00+01:00,36.8855712943601,39.7108219400612
2018-10-03 00:00:00+01:00,33.7807592699385,49.8958601644664
2018-10-04 00:00:00+01:00,32.2699633209114,66.7506293571636
2018-10-05 00:00:00+01:00,31.1554443970992,68.2515904788312
2018-10-06 00:00:00+01:00,29.1603360442027,70.1279913699391
2018-10-07 00:00:00+01:00,26.3953515811521,70.6516310227067
2018-10-08 00:00:00+01:00,24.8232840188375,70.3278905911557
2018-10-09 00:00:00+01:00,30.6082190272751,70.2611719175328
2018-10-10 00:00:00+01:00,42.1250712335907,57.9179815438042
2018-10-11 00:00:00+01:00,54.8808144110581,41.0047511785853
2018-10-12 00:00:00+01:00,68.9922376362522,30.2949833597876
2018-10-13 00:00:00+01:00,82.8065914492007,16.1292034850106
2018-10-14 00:00:00+01:00,140.52332407529,5.15335735916945
2018-10-15 00:00:00+01:00,146.736067806448,5.2951638363143
2018-10-16 00:00:00+01:00,100.954406839771,5.25345258903134
2018-10-17 00:00:00+01:00,81.7445077907162,4.25770806048066
2018-10-18 00:00:00+01:00,66.2363438315746,4.34314254198604
2018-10-19 00:00:00+01:00,53.640998929792,4.57918918711588
2018-10-20 00:00:00+01:00,48.6603073986071,6.68995090756225
2018-10-21 00:00:00+01:00,63.3370956027639,4.51627781801031
2018-10-22 00:00:00+01:00,71.1103049595712,25.7668900976681
2018-10-23 00:00:00+01:00,60.2756584719448,45.0186899385155
2018-10-24 00:00:00+01:00,51.639545404558,63.1164772252896
2018-10-25 00:00:00+01:00,46.5451204198714,68.2798442390145
2018-10-26 00:00:00+01:00,41.9328880359226,68.4074734124483
2018-10-27 00:00:00+01:00,37.5885517093234,68.7772653363076
2018-10-28 00:00:00+01:00,33.688971571896,68.7772653363076
2018-10-29 00:00:00+01:00,30.192784449668,69.0488714321075
2018-10-30 00:00:00+01:00,27.0608694278873,69.0808783679396
2018-10-31 00:00:00+01:00,24.4909701984726,68.3975814628315
2018-11-01 00:00:00+01:00,23.1597792764872,67.5185226760559
2018-11-02 00:00:00+01:00,24.3540084421628,71.3091878727572
2018-11-03 00:00:00+01:00,25.1010085630188,76.5952645917436
2018-11-04 00:00:00+01:00,27.0941090688283,67.5928475825133
2018-11-05 00:00:00+01:00,32.1653973155327,61.8689150214689
2018-11-06 00:00:00+01:00,32.1795580884464,60.64263682735
2018-11-07 00:00:00+01:00,33.0935834675652,53.8170902521292
2018-11-08 00:00:00+01:00,36.012074372179,48.0742027751959
2018-11-09 00:00:00+01:00,35.1443290126511,47.8082008718529
2018-11-10 00:00:00+01:00,32.0184333106073,47.3826507040743
2018-11-11 00:00:00+01:00,30.4864793774313,45.4110576466413
2018-11-12 00:00:00+01:00,32.7841283981452,42.4979312984992
2018-11-13 00:00:00+01:00,33.2796103224365,42.2304440203098
2018-11-14 00:00:00+01:00,29.9781316141935,42.1787179624413
2018-11-15 00:00:00+01:00,30.553373347008,35.4667283320343
2018-11-16 00:00:00+01:00,34.3705881600938,28.5631267885112
2018-11-17 00:00:00+01:00,34.3307965108171,28.0270686922694
2018-11-18 00:00:00+01:00,31.0781907103465,28.0328643011582
2018-11-19 00:00:00+01:00,27.8413817744161,28.0368589954813
2018-11-20 00:00:00+01:00,24.9456769398118,28.1261932301909
2018-11-21 00:00:00+01:00,22.4329664620378,28.3471571459292
2018-11-22 00:00:00+01:00,20.1538893982005,28.3785583570149
2018-11-23 00:00:00+01:00,18.0604394167928,28.4724118750324
2018-11-24 00:00:00+01:00,16.1860823551536,28.5311020403092
2018-11-25 00:00:00+01:00,14.5065550774641,28.6125717072088
2018-11-26 00:00:00+01:00,13.0304455492711,29.2393469964885
2018-11-27 00:00:00+01:00,11.7073537078545,29.3676004919744
2018-11-28 00:00:00+01:00,10.4942195933467,29.3841654791358
2018-11-29 00:00:00+01:00,9.42983570412576,29.4191566886474
2018-11-30 00:00:00+01:00,8.91391464213082,29.3121726310546
2018-12-01 00:00:00+01:00,8.24545195166875,29.6442773406929
2018-12-02 00:00:00+01:00,7.66185082537269,30.0417663457778
2018-12-03 00:00:00+01:00,7.94913979811953,46.8858271119563
2018-12-04 00:00:00+01:00,8.87931328258556,67.1822440954761
2018-12-05 00:00:00+01:00,9.04579808733765,71.1557536104157
2018-12-06 00:00:00+01:00,8.29514399914429,71.7148243872749
2018-12-07 00:00:00+01:00,7.58452707735766,73.0396013488203
2018-12-08 00:00:00+01:00,7.42462740910019,81.2893518610167
2018-12-09 00:00:00+01:00,9.34606799852571,127.809704979802
2018-12-10 00:00:00+01:00,11.7472262439565,154.032418835009
2018-12-11 00:00:00+01:00,11.7212070974589,154.980776893049
2018-12-12 00:00:00+01:00,10.5244250550231,155.010606838961
2018-12-13 00:00:00+01:00,9.41760573714757,155.150183360026
2018-12-14 00:00:00+01:00,8.42661485633613,155.188342455306
2018-12-15 00:00:00+01:00,7.59174609777613,155.192517433786
2018-12-16 00:00:00+01:00,7.22414452195938,155.488637214129
2018-12-17 00:00:00+01:00,6.94686602626289,155.551308793954
2018-12-18 00:00:00+01:00,6.67540187023436,155.555695450252
2018-12-19 00:00:00+01:00,6.41486305500963,155.627518883352
2018-12-20 00:00:00+01:00,6.17078470246815,155.970698306102
2018-12-21 00:00:00+01:00,5.94295472254021,156.423253178791
2018-12-22 00:00:00+01:00,5.79529943564622,160.57539097267
2018-12-23 00:00:00+01:00,5.65042091446162,161.208114302534
2018-12-24 00:00:00+01:00,6.62174008054216,190.042201265233
2018-12-25 00:00:00+01:00,7.21416750509982,192.737452885373
2018-12-26 00:00:00+01:00,6.5327459502134,194.419050229966
2018-12-27 00:00:00+01:00,5.96111150052242,197.270455732143
2018-12-28 00:00:00+01:00,5.73064491415787,199.102345225851
2018-12-29 00:00:00+01:00,5.95948857954854,212.84015982883
2018-12-30 00:00:00+01:00,6.0590085403144,217.632900208258
2018-12-31 00:00:00+01:00,7.4990879777227,246.884337343856
2019-01-01 00:00:00+01:00,11.2132437393894,292.413311841118
2019-01-02 00:00:00+01:00,12.771276627882,308.565826327528
2019-01-03 00:00:00+01:00,12.4513773394725,316.588057439338
2019-01-04 00:00:00+01:00,11.7689037680591,322.657831676832
